;             Ministério da Educação;;;;;;;;;;;;;;;;;;;;;;
;                     Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
                                                                                                    Taxa de Distorção Idade-Série por Município - 2014;;;;;;;;;;;;;;;;;;;;;;;
Taxa de Distorção Idade-Série, por Dependência Administrativa e Localização, nos Níveis de Ensino Fundamental de 8 e 9 anos e Médio, segundo a Região Geográfica, Unidades da Federação e seus respectivos Municípios em 2014. ;;;;;;;;;;;;;;;;;;;;;;;
Ano;Região;UF;Código do Município;Nome do Município;Localização;Rede;Taxa de Distorção Idade-Série - Ensino Fundamental de 8 e 9 anos;;;;;;;;;;;;Taxa de Distorção Idade-Série - Ensino Médio;;;;
;;;;;;;Total Fundamental;1º ao 5º Ano;6º ao 9º Ano;1º Ano;2º Ano;3º Ano;4º Ano;5º Ano;6º Ano;7º Ano;8º Ano;9º Ano;Total Médio; 1ª Série; 2ª Série; 3ª Série; 4ª Série
;;;;;;;;;;;;;;;;;;;;;;;
ano;NO_REGIAO;SIGLA;PK_COD_MUNICIPIO;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
2014;Sudeste;RJ;3300225;AREAL;Total;Publico;30;22.4;38.4;0.8;5.1;27.5;37.6;31.6;44.7;38.4;33.8;35;31;35.7;29.9;27;--
2014;Sudeste;RJ;3300225;AREAL;Rural;Total;33.8;22.6;38.7;--;--;42.9;32.4;30;42.6;37.1;28.8;43.6;--;--;--;--;--
2014;Sudeste;RJ;3300225;AREAL;Rural;Municipal;33.8;22.6;38.7;--;--;42.9;32.4;30;42.6;37.1;28.8;43.6;--;--;--;--;--
2014;Sudeste;RJ;3300225;AREAL;Rural;Publico;33.8;22.6;38.7;--;--;42.9;32.4;30;42.6;37.1;28.8;43.6;--;--;--;--;--
2014;Sudeste;RJ;3300225;AREAL;Urbana;Total;26.5;20.7;38.1;0.8;6;22.8;37.6;29.4;47.1;40;37.8;27.1;31;35.7;29.9;27;--
2014;Sudeste;RJ;3300225;AREAL;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;31;35.7;29.9;27;--
2014;Sudeste;RJ;3300225;AREAL;Urbana;Municipal;28;22.4;38.1;1;6.5;24.7;38.9;32.2;47.1;40;37.8;27.1;--;--;--;--;--
2014;Sudeste;RJ;3300225;AREAL;Urbana;Privada;3.3;3.3;--;--;--;5.9;12.5;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300225;AREAL;Urbana;Publico;28;22.4;38.1;1;6.5;24.7;38.9;32.2;47.1;40;37.8;27.1;31;35.7;29.9;27;--
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Total;Total;38.4;32.7;45;16.7;33.3;32.4;39.5;41.1;49.5;39.5;51.4;35.8;45.4;50.1;43.4;31.1;50
